"filename", "language", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/delete.js", "JavaScript", 0, 28, 0, 0, 0, 5, 33
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/get.js", "JavaScript", 0, 24, 0, 0, 0, 5, 29
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/login.js", "JavaScript", 0, 26, 0, 0, 0, 4, 30
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/post.js", "JavaScript", 0, 26, 0, 0, 0, 4, 30
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/pregnancy/getActive.js", "JavaScript", 0, 24, 0, 0, 0, 5, 29
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/pregnancy/put.js", "JavaScript", 0, 25, 0, 0, 0, 4, 29
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/pregnancy/readDetails.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/pregnancy/remove.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/put.js", "JavaScript", 0, 26, 0, 0, 0, 4, 30
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/putAnimal.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/putMilk.js", "JavaScript", 0, 25, 0, 0, 0, 4, 29
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/API/readAnimal.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/app.js", "JavaScript", 0, 51, 0, 0, 5, 9, 65
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/css/paper-dashboard.css", "CSS", 0, 0, 4345, 0, 58, 456, 4859
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/css/paper-dashboard.min.css", "CSS", 0, 0, 1, 0, 5, 1, 7
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/demo/demo.css", "CSS", 0, 0, 158, 0, 19, 31, 208
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard.scss", "SCSS", 0, 0, 0, 28, 5, 8, 41
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_alerts.scss", "SCSS", 0, 0, 0, 62, 0, 13, 75
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_animated-buttons.scss", "SCSS", 0, 0, 0, 60, 1, 11, 72
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_buttons.scss", "SCSS", 0, 0, 0, 204, 4, 27, 235
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_cards.scss", "SCSS", 0, 0, 0, 113, 0, 28, 141
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_checkboxes-radio.scss", "SCSS", 0, 0, 0, 127, 0, 16, 143
